0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98
0.11,0.778,1.806,2.135,2.932,3.908,4.952,6.03,7.103,8.168,9.225,9.605,10.262,10.978,11.849,12.834,13.865,14.921,15.988,16.436,16.987,17.995,19.041,20.102,21.441,22.24,23.31,24.38,25.448,26.758,27.579,28.302,29.133,30.049,31.009,32,33.011,33.473,33.986,34.855,35.824,37.073,38.117,38.921,40.229,41.296,42.651,43.435,44.248,44.964,45.764,46.625,47.526,48.476,49.447,49.963,50.46,51.278,52.345,53.617,54.68,55.744,56.809,57.869,58.746,59.989,61.049,61.921,63.167,64.224,65.281,66.137,67.083,68.069,69.078,70.091,71.119,72.156,73.386,74.437,75.303,76.042,76.851,77.657,78.506,79.398,80.322,80.852,81.368,82.105,82.946,84.17,85.232,86.288,87.547,88.605,89.479,90.54,91.601
0.12,0.744,1.772,2.065,2.804,3.756,4.794,5.875,6.954,8.026,9.09,9.455,10.059,10.733,11.567,12.527,13.546,14.597,15.665,16.138,16.655,17.643,18.678,19.733,21.089,21.868,22.939,24.011,25.083,26.422,27.222,27.924,28.725,29.616,30.557,31.535,32.537,33.034,33.522,34.354,35.296,36.535,37.569,38.355,39.674,40.741,42.105,42.886,43.683,44.383,45.155,45.988,46.863,47.793,48.747,49.309,49.802,50.58,51.646,52.952,54.017,55.084,56.151,57.214,58.061,59.34,60.403,61.247,62.528,63.589,64.65,65.477,66.4,67.367,68.363,69.365,70.384,71.416,72.656,73.706,74.559,75.284,76.071,76.852,77.677,78.545,79.448,80.018,80.528,81.225,82.025,83.269,84.326,85.38,86.665,87.723,88.573,89.635,90.699
0.13,0.71,1.737,2.004,2.683,3.606,4.633,5.714,6.798,7.876,8.948,9.309,9.864,10.498,11.292,12.223,13.224,14.266,15.331,15.841,16.334,17.301,18.322,19.369,20.734,21.497,22.568,23.641,24.714,26.077,26.859,27.543,28.316,29.179,30.099,31.06,32.051,32.588,33.066,33.861,34.775,35.994,37.016,37.787,39.108,40.173,41.538,42.322,43.104,43.793,44.541,45.344,46.193,47.099,48.033,48.645,49.146,49.888,50.952,52.288,53.354,54.422,55.491,56.555,57.375,58.686,59.752,60.569,61.884,62.948,64.012,64.813,65.711,66.658,67.637,68.625,69.634,70.658,71.902,72.95,73.79,74.507,75.274,76.032,76.831,77.674,78.554,79.167,79.685,80.348,81.107,82.366,83.417,84.467,85.772,86.829,87.656,88.718,89.783
0.14,0.676,1.701,1.95,2.569,3.459,4.472,5.551,6.637,7.721,8.799,9.166,9.678,10.273,11.025,11.922,12.902,13.932,14.991,15.543,16.024,16.968,17.974,19.011,20.378,21.128,22.197,23.27,24.344,25.726,26.492,27.162,27.908,28.742,29.637,30.578,31.555,32.137,32.616,33.378,34.262,35.454,36.461,37.221,38.536,39.597,40.954,41.744,42.517,43.199,43.924,44.699,45.519,46.4,47.311,47.971,48.492,49.202,50.263,51.623,52.689,53.758,54.828,55.893,56.69,58.029,59.097,59.891,61.234,62.301,63.368,64.146,65.019,65.944,66.906,67.878,68.874,69.887,71.13,72.173,73.001,73.715,74.464,75.202,75.976,76.794,77.648,78.303,78.839,79.474,80.196,81.463,82.505,83.55,84.87,85.924,86.731,87.793,88.858
0.15,0.641,1.663,1.904,2.463,3.316,4.311,5.385,6.472,7.56,8.643,9.027,9.502,10.059,10.769,11.629,12.583,13.597,14.647,15.243,15.723,16.645,17.635,18.661,20.022,20.764,21.829,22.9,23.973,25.37,26.124,26.783,27.504,28.307,29.175,30.095,31.055,31.681,32.171,32.904,33.758,34.916,35.907,36.658,37.959,39.015,40.357,41.157,41.923,42.603,43.309,44.056,44.848,45.702,46.588,47.291,47.839,48.523,49.579,50.957,52.022,53.091,54.163,55.228,56.005,57.366,58.437,59.212,60.578,61.648,62.718,63.478,64.326,65.229,66.172,67.126,68.107,69.108,70.343,71.38,72.198,72.912,73.645,74.365,75.117,75.908,76.737,77.43,77.99,78.605,79.294,80.563,81.595,82.632,83.961,85.011,85.802,86.862,87.926
0.16,0.608,1.624,1.863,2.365,3.179,4.153,5.218,6.304,7.395,8.483,8.888,9.334,9.857,10.525,11.345,12.27,13.263,14.301,14.941,15.43,16.33,17.304,18.317,19.667,20.404,21.465,22.533,23.604,25.009,25.754,26.406,27.104,27.877,28.718,29.613,30.553,31.22,31.73,32.437,33.263,34.382,35.355,36.1,37.381,38.429,39.75,40.563,41.325,42.006,42.696,43.419,44.182,45.008,45.868,46.606,47.186,47.849,48.901,50.289,51.353,52.422,53.493,54.559,55.321,56.699,57.771,58.532,59.917,60.989,62.062,62.807,63.634,64.515,65.437,66.372,67.337,68.324,69.546,70.575,71.385,72.101,72.822,73.527,74.257,75.023,75.826,76.55,77.138,77.739,78.4,79.665,80.685,81.715,83.044,84.09,84.869,85.926,86.989
0.17,0.574,1.584,1.828,2.277,3.048,3.998,5.051,6.134,7.226,8.318,8.751,9.175,9.667,10.293,11.072,11.964,12.934,13.957,14.638,15.142,16.023,16.98,17.98,19.312,20.049,21.104,22.168,23.237,24.645,25.385,26.033,26.709,27.454,28.266,29.136,30.053,30.757,31.292,31.977,32.776,33.854,34.806,35.548,36.803,37.841,39.137,39.964,40.726,41.41,42.088,42.789,43.526,44.323,45.155,45.921,46.533,47.182,48.227,49.62,50.682,51.749,52.821,53.886,54.637,56.028,57.101,57.851,59.249,60.324,61.399,62.134,62.942,63.802,64.703,65.619,66.566,67.538,68.742,69.761,70.564,71.285,71.997,72.689,73.4,74.143,74.92,75.667,76.285,76.879,77.516,78.771,79.779,80.799,82.123,83.163,83.934,84.988,86.048
0.18,0.542,1.543,1.796,2.197,2.924,3.847,4.886,5.964,7.055,8.15,8.613,9.023,9.487,10.074,10.811,11.668,12.611,13.615,14.334,14.859,15.722,16.663,17.649,18.96,19.699,20.748,21.806,22.872,24.278,25.017,25.663,26.322,27.039,27.822,28.664,29.558,30.293,30.856,31.523,32.298,33.331,34.263,35.003,36.228,37.254,38.52,39.361,40.126,40.817,41.486,42.168,42.879,43.648,44.453,45.237,45.882,46.519,47.557,48.95,50.009,51.074,52.145,53.21,53.953,55.351,56.425,57.169,58.576,59.653,60.729,61.46,62.251,63.09,63.972,64.868,65.797,66.752,67.934,68.941,69.74,70.467,71.172,71.855,72.549,73.269,74.021,74.785,75.431,76.023,76.642,77.881,78.875,79.885,81.198,82.231,82.998,84.047,85.103
0.19,0.511,1.502,1.768,2.125,2.808,3.701,4.723,5.793,6.883,7.978,8.475,8.876,9.318,9.868,10.563,11.382,12.297,13.279,14.031,14.58,15.426,16.351,17.323,18.609,19.354,20.395,21.448,22.51,23.91,24.649,25.297,25.941,26.633,27.387,28.202,29.07,29.83,30.421,31.075,31.827,32.814,33.725,34.466,35.655,36.668,37.902,38.758,39.527,40.226,40.891,41.556,42.245,42.987,43.763,44.559,45.232,45.862,46.892,48.28,49.334,50.398,51.467,52.53,53.27,54.67,55.744,56.486,57.897,58.975,60.053,60.783,61.56,62.382,63.243,64.121,65.031,65.969,67.125,68.119,68.914,69.648,70.349,71.026,71.706,72.405,73.133,73.907,74.578,75.172,75.777,76.995,77.975,78.973,80.271,81.296,82.062,83.105,84.157
0.2,0.481,1.46,1.742,2.06,2.699,3.56,4.563,5.623,6.709,7.805,8.335,8.735,9.158,9.673,10.327,11.109,11.991,12.949,13.728,14.304,15.135,16.044,17.003,18.26,19.012,20.046,21.093,22.15,23.54,24.283,24.935,25.567,26.235,26.962,27.749,28.59,29.368,29.988,30.631,31.363,32.305,33.195,33.936,35.088,36.086,37.286,38.154,38.93,39.639,40.302,40.955,41.623,42.34,43.088,43.888,44.586,45.212,46.233,47.61,48.66,49.72,50.786,51.847,52.588,53.985,55.059,55.803,57.213,58.292,59.371,60.103,60.87,61.675,62.519,63.378,64.269,65.189,66.317,67.296,68.088,68.83,69.53,70.203,70.871,71.553,72.258,73.035,73.728,74.326,74.922,76.115,77.08,78.066,79.343,80.36,81.126,82.163,83.21
